ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
43888	11/05/2024	2024 General	State Totals	Voted Vote-by-Mail	192,336	227,222	10,603	95,735	525,896	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Alachua	Voted Vote-by-Mail	2,044	4,917	160	1,228	8,349	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Baker	Voted Vote-by-Mail	350	113	7	27	497	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Bay	Voted Vote-by-Mail	2,158	1,331	93	587	4,169	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Bradford	Voted Vote-by-Mail	326	186	6	47	565	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Brevard	Voted Vote-by-Mail	4,427	4,393	242	1,862	10,924	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Broward	Voted Vote-by-Mail	10,099	24,613	789	8,696	44,197	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Calhoun	Voted Vote-by-Mail	190	113	0	17	320	10/11/2024 11:01AM
43888	11/05/2024	2024 General	Charlotte	Voted Vote-by-Mail	4,373	3,498	294	1,798	9,963	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Citrus	Voted Vote-by-Mail	4,095	2,628	191	1,393	8,307	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Clay	Voted Vote-by-Mail	3,143	1,838	152	996	6,129	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Collier	Voted Vote-by-Mail	8,021	3,982	292	2,811	15,106	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Columbia	Voted Vote-by-Mail	587	393	17	124	1,121	10/14/2024  8:06AM
43888	11/05/2024	2024 General	DeSoto	Voted Vote-by-Mail	64	77	3	30	174	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Dixie	Voted Vote-by-Mail	259	78	6	33	376	10/12/2024  8:05AM
43888	11/05/2024	2024 General	Duval	Voted Vote-by-Mail	6,059	7,730	332	2,326	16,447	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Escambia	Voted Vote-by-Mail	3,148	2,540	117	1,034	6,839	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Flagler	Voted Vote-by-Mail	2,472	2,512	135	1,113	6,232	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Franklin	Voted Vote-by-Mail	173	141	15	41	370	10/13/2024  8:06AM
43888	11/05/2024	2024 General	Gadsden	Voted Vote-by-Mail	168	835	13	54	1,070	10/11/2024  8:05AM
43888	11/05/2024	2024 General	Gilchrist	Voted Vote-by-Mail	195	75	3	28	301	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Glades	Voted Vote-by-Mail	150	93	12	41	296	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Gulf	Voted Vote-by-Mail	176	97	6	29	308	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Hamilton	Voted Vote-by-Mail	118	125	6	24	273	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Hardee	Voted Vote-by-Mail	93	49	4	19	165	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Hendry	Voted Vote-by-Mail	147	141	10	43	341	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Hernando	Voted Vote-by-Mail	3,043	2,461	120	1,052	6,676	10/14/2024  8:06AM
43888	11/05/2024	2024 General	Highlands	Voted Vote-by-Mail	504	436	25	174	1,139	10/14/2024  8:06AM
