ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
43888	11/05/2024	2024 General	State Totals	Voted Early	412,545	213,246	15,780	121,234	762,805	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Alachua	Voted Early	3,832	4,308	199	1,486	9,825	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Baker	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Bay	Voted Early	11,462	2,302	320	1,812	15,896	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Bradford	Voted Early	953	177	9	72	1,211	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Brevard	Voted Early	15,756	6,241	666	4,176	26,839	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Broward	Voted Early	17,397	24,935	1,038	10,024	53,394	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Calhoun	Voted Early	429	99	3	20	551	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Charlotte	Voted Early	6,843	1,497	266	1,647	10,253	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Citrus	Voted Early	7,671	1,461	233	1,369	10,734	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Clay	Voted Early	6,192	1,565	176	964	8,897	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Collier	Voted Early	13,366	2,870	329	2,892	19,457	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Columbia	Voted Early	2,879	792	61	358	4,090	10/23/2024  8:09AM
43888	11/05/2024	2024 General	DeSoto	Voted Early	756	294	32	153	1,235	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Dixie	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Duval	Voted Early	22,173	19,525	946	5,766	48,410	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Escambia	Voted Early	10,318	4,128	307	1,852	16,605	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Flagler	Voted Early	4,329	1,206	134	943	6,612	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Franklin	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Gadsden	Voted Early	627	1,126	21	111	1,885	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Gilchrist	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Glades	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Gulf	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Hamilton	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Hardee	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Hendry	Voted Early	845	289	22	93	1,249	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Hernando	Voted Early	5,323	1,438	199	1,092	8,052	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Highlands	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Hillsborough	Voted Early	17,533	11,840	718	5,866	35,957	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Holmes	Voted Early	0	0	0	0	0	
43888	11/05/2024	2024 General	Indian River	Voted Early	5,174	1,295	189	1,133	7,791	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Jackson	Voted Early	1,044	366	12	85	1,507	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Jefferson	Voted Early	612	235	8	74	929	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Lafayette	Voted Early	245	24	3	15	287	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Lake	Voted Early	9,325	4,287	335	2,643	16,590	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Lee	Voted Early	15,353	4,061	526	4,428	24,368	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Leon	Voted Early	4,631	5,788	236	1,591	12,246	10/23/2024  8:09AM
43888	11/05/2024	2024 General	Levy	Voted Early	1,360	271	45	146	1,822	10/23/2024  8:09AM
