day,cat,dem,rep,npa,oth
2024-09-12,voted,0,1,0,1
2024-09-16,voted,2,2,3,0
2024-09-17,voted,8,3,4,0
2024-09-18,voted,13,7,4,0
2024-09-19,voted,23,23,8,2
2024-09-20,voted,44,33,20,3
2024-09-22,voted,93,67,38,10
2024-09-24,voted,401,326,188,33
2024-09-25,voted,664,598,327,53
2024-09-26,voted,879,782,436,72
2024-09-27,voted,970,867,492,78
2024-09-29,voted,1196,1116,641,94
2024-09-30,voted,1270,1189,687,97
2024-10-01,voted,2492,2281,1212,167
2024-10-02,voted,9326,7236,4117,553
2024-10-03,voted,18578,15052,7909,1034
2024-10-04,voted,32688,28216,13928,1755
2024-10-06,voted,60207,55843,26455,3130
2024-10-07,voted,60207,55843,26455,3130
2024-10-08,voted,107822,96456,46332,5278
2024-10-09,voted,134369,118000,57588,6477
2024-10-10,voted,149454,128142,62600,7141
2024-10-11,voted,155424,135188,64958,7450
2024-10-13,voted,212714,180689,89669,9979
2024-10-14,voted,227222,192336,95735,10603
2024-10-15,voted,260671,220699,110265,12096
2024-10-16,voted,303597,262136,129474,14152
2024-10-17,voted,355709,307822,153407,16526
2024-10-18,voted,422450,362977,183647,19740
2024-10-19,voted,473732,406887,207162,22192
2024-10-20,voted,497557,426461,218334,23394
2024-10-21,voted,499709,427249,219000,23462
2024-10-22,voted,555450,477778,247038,26375
2024-10-23,voted,632167,542112,284022,30052
2024-10-24,voted,709736,606191,321890,33985
2024-10-25,voted,767882,655797,350796,36830
2024-10-26,voted,824028,704311,379481,39663
2024-10-27,voted,865793,740108,401666,41923
