,day,county_name,accepted,outstanding,rejected,cancelled,spoiled,sent,returned,acc_abs,acc_early
0,2024-08-19,STATEWIDE,0,0,0,0,0,2,0,0,0
1,2024-08-20,STATEWIDE,0,0,0,0,0,3,0,0,0
2,2024-08-21,STATEWIDE,0,0,0,0,0,4,0,0,0
3,2024-08-22,STATEWIDE,0,0,0,0,0,5,0,0,0
4,2024-08-23,STATEWIDE,0,0,0,0,0,9,0,0,0
5,2024-08-24,STATEWIDE,0,0,0,0,0,9,0,0,0
6,2024-08-25,STATEWIDE,0,0,0,0,0,9,0,0,0
7,2024-08-26,STATEWIDE,1,0,0,0,0,9,1,1,0
8,2024-08-27,STATEWIDE,1,0,0,0,0,10,1,1,0
9,2024-08-28,STATEWIDE,1,0,0,0,0,11,1,1,0
10,2024-08-29,STATEWIDE,2,0,0,0,0,12,2,2,0
11,2024-08-30,STATEWIDE,2,0,0,0,0,12,2,2,0
12,2024-08-31,STATEWIDE,2,0,0,0,0,12,2,2,0
13,2024-09-01,STATEWIDE,3,0,0,0,0,12,3,3,0
14,2024-09-02,STATEWIDE,3,0,0,0,0,12,3,3,0
15,2024-09-03,STATEWIDE,3,0,0,0,0,13,3,3,0
16,2024-09-04,STATEWIDE,3,0,0,0,0,13,3,3,0
17,2024-09-05,STATEWIDE,3,0,0,0,0,14,3,3,0
18,2024-09-06,STATEWIDE,3,0,0,0,0,15,3,3,0
19,2024-09-07,STATEWIDE,3,0,0,0,0,15,3,3,0
20,2024-09-08,STATEWIDE,3,0,0,0,0,15,3,3,0
21,2024-09-09,STATEWIDE,3,0,0,1,0,21,3,3,0
22,2024-09-10,STATEWIDE,3,0,0,1,0,21,3,3,0
23,2024-09-11,STATEWIDE,3,0,0,1,0,22,3,3,0
24,2024-09-12,STATEWIDE,3,0,0,1,0,24,3,3,0
25,2024-09-13,STATEWIDE,3,0,0,1,0,25,3,3,0
26,2024-09-14,STATEWIDE,3,0,0,1,0,25,3,3,0
27,2024-09-15,STATEWIDE,3,0,0,1,0,25,3,3,0
28,2024-09-16,STATEWIDE,5,0,0,1,0,28,5,5,0
29,2024-09-17,STATEWIDE,5,0,0,16,0,430,5,5,0
30,2024-09-18,STATEWIDE,5,0,0,24,0,541,5,5,0
31,2024-09-19,STATEWIDE,7,0,0,97,0,11847,7,7,0
32,2024-09-20,STATEWIDE,36,0,0,114,2,12672,38,36,0
33,2024-09-21,STATEWIDE,36,0,0,122,2,13205,38,36,0
34,2024-09-22,STATEWIDE,36,0,0,122,2,13235,38,36,0
35,2024-09-23,STATEWIDE,75,0,0,124,3,13704,78,75,0
36,2024-09-24,STATEWIDE,125,0,0,127,3,14102,128,125,0
37,2024-09-25,STATEWIDE,196,0,0,131,3,14459,199,196,0
38,2024-09-26,STATEWIDE,248,0,0,133,3,14742,251,248,0
39,2024-09-27,STATEWIDE,258,0,0,135,3,14892,261,258,0
40,2024-09-28,STATEWIDE,260,0,0,136,3,14987,263,260,0
41,2024-09-29,STATEWIDE,260,0,0,137,3,15011,263,260,0
42,2024-09-30,STATEWIDE,555,0,0,138,3,15432,558,555,0
43,2024-10-01,STATEWIDE,829,0,0,145,3,15663,832,829,0
44,2024-10-02,STATEWIDE,1104,0,1,148,4,16154,1109,1104,0
45,2024-10-03,STATEWIDE,1328,0,1,150,4,16566,1333,1328,0
46,2024-10-04,STATEWIDE,1590,0,1,156,4,16969,1595,1590,0
47,2024-10-05,STATEWIDE,1652,0,1,159,4,17224,1657,1652,0
48,2024-10-06,STATEWIDE,1653,0,1,160,4,17234,1658,1653,0
49,2024-10-07,STATEWIDE,2043,0,1,2710,4,195140,2048,2043,0
50,2024-10-08,STATEWIDE,2654,0,3,2898,12,215590,2669,2654,0
51,2024-10-09,STATEWIDE,3681,0,8,3014,17,228202,3706,3681,0
52,2024-10-10,STATEWIDE,5978,0,10,3118,28,237481,6016,5978,0
53,2024-10-11,STATEWIDE,10050,0,22,3214,42,246921,10114,10050,0
54,2024-10-12,STATEWIDE,10535,0,23,3249,43,249046,10601,10535,0
55,2024-10-13,STATEWIDE,10573,0,25,3258,43,249365,10641,10573,0
56,2024-10-14,STATEWIDE,14563,0,40,3334,56,254446,14659,14563,0
57,2024-10-15,STATEWIDE,343689,0,124,5602,85,263390,343898,30280,313409
58,2024-10-16,STATEWIDE,635097,0,214,7381,103,271641,635414,42165,592932
59,2024-10-17,STATEWIDE,911773,0,343,9031,132,279259,912248,59134,852639
60,2024-10-18,STATEWIDE,1218652,0,491,10535,163,287486,1219306,77173,1141479
61,2024-10-19,STATEWIDE,1394784,0,588,11511,168,291723,1395540,88613,1306171
62,2024-10-20,STATEWIDE,1442292,0,598,11875,173,292937,1443063,93496,1348796
63,2024-10-21,STATEWIDE,1709833,0,738,13263,198,302541,1710769,112019,1597814
64,2024-10-22,STATEWIDE,1949457,0,805,14486,219,310373,1950481,125370,1824087
65,2024-10-23,STATEWIDE,2159955,0,861,15516,230,318043,2161046,134310,2025645
