"Date","County","Total","Dem","Rep","Other"
2024-10-19,"Statewide",39248,15843,16490,6915
2024-10-20,"Statewide",68338,27245,28331,12762
2024-10-21,"Statewide",112820,41550,49910,21360
2024-10-22,"Statewide",157940,55355,72226,30359
2024-10-23,"Statewide",202863,68362,94593,39908
2024-10-24,"Statewide",242541,79816,113993,48732
2024-10-25,"Statewide",281958,90574,133467,57917
2024-10-26,"Statewide",311579,99628,146796,65155
2024-10-27,"Statewide",333439,106546,155708,71185
2024-10-28,"Statewide",370473,116206,173848,80419
