"AppReturnDate","rep","dem","other"
2024-09-01,295797,770867,116756
2024-09-02,296278,771326,116907
2024-09-03,299910,776229,118428
2024-09-04,303062,780347,119758
2024-09-05,306459,785073,121218
2024-09-06,309844,789355,122631
2024-09-07,310297,790381,123018
2024-09-08,310562,791219,123225
2024-09-09,314861,797285,125051
2024-09-10,319311,802881,126969
2024-09-11,323182,808693,128816
2024-09-12,327751,815195,131101
2024-09-13,332114,821635,133246
2024-09-14,333301,823349,133863
2024-09-15,333970,824786,134326
2024-09-16,339125,832528,136866
2024-09-17,344012,839507,139151
2024-09-18,348631,847078,141563
2024-09-19,353064,853725,143736
2024-09-20,357192,860466,145785
2024-09-21,358946,862914,146573
2024-09-22,359495,864034,146935
2024-09-23,364823,872585,149503
2024-09-24,370024,880093,151927
2024-09-25,375692,888653,154646
2024-09-26,380622,896410,157113
2024-09-27,385720,904386,159579
2024-09-28,388148,908569,160904
2024-09-29,389046,910868,161581
2024-09-30,394649,918602,164144
2024-10-01,401092,927951,167358
2024-10-02,408337,937251,170657
2024-10-03,415598,946690,173729
2024-10-04,422952,954614,176418
2024-10-05,425749,958465,177675
2024-10-06,427010,960594,178342
2024-10-07,435669,969586,181606
2024-10-08,444280,978176,184818
2024-10-09,453604,988672,188511
2024-10-10,464585,1000260,192675
2024-10-11,474751,1010163,196474
2024-10-12,480073,1016330,198857
2024-10-13,483158,1019782,200180
2024-10-14,493839,1029686,204436
2024-10-15,508273,1041423,209098
2024-10-16,521666,1052545,213738
2024-10-17,534212,1064629,218229
2024-10-18,546204,1074928,222070
2024-10-19,553678,1082895,225161
2024-10-20,558763,1088230,227335
2024-10-21,572240,1098467,231563
2024-10-22,589190,1110719,236975
2024-10-23,608697,1126043,243813
2024-10-24,627777,1139659,250231
2024-10-25,648845,1155308,257172
2024-10-26,660705,1169622,262871
2024-10-27,669070,1179699,266801
