election,daysLeft,cumulEvs
2024 NOVEMBER 5TH GENERAL ELECTION,12,225718
2024 NOVEMBER 5TH GENERAL ELECTION,13,216335
2024 NOVEMBER 5TH GENERAL ELECTION,14,191982
2024 NOVEMBER 5TH GENERAL ELECTION,15,178131
2024 NOVEMBER 5TH GENERAL ELECTION,16,157532
2024 NOVEMBER 5TH GENERAL ELECTION,17,156264
2024 NOVEMBER 5TH GENERAL ELECTION,18,148016
2024 NOVEMBER 5TH GENERAL ELECTION,19,133173
2024 NOVEMBER 5TH GENERAL ELECTION,20,118165
2024 NOVEMBER 5TH GENERAL ELECTION,21,102096
2024 NOVEMBER 5TH GENERAL ELECTION,22,86567
2024 NOVEMBER 5TH GENERAL ELECTION,23,79573
2024 NOVEMBER 5TH GENERAL ELECTION,24,78876
2024 NOVEMBER 5TH GENERAL ELECTION,25,73880
2024 NOVEMBER 5TH GENERAL ELECTION,26,62251
2024 NOVEMBER 5TH GENERAL ELECTION,27,47624
2024 NOVEMBER 5TH GENERAL ELECTION,28,39819
2024 NOVEMBER 5TH GENERAL ELECTION,29,29754
2024 NOVEMBER 5TH GENERAL ELECTION,30,20259
2024 NOVEMBER 5TH GENERAL ELECTION,31,20146
2024 NOVEMBER 5TH GENERAL ELECTION,32,18418
2024 NOVEMBER 5TH GENERAL ELECTION,33,13349
2024 NOVEMBER 5TH GENERAL ELECTION,34,9551
2024 NOVEMBER 5TH GENERAL ELECTION,35,5923
2024 NOVEMBER 5TH GENERAL ELECTION,36,4390
2024 NOVEMBER 5TH GENERAL ELECTION,37,1724
2020 NOVEMBER 3RD GENERAL ELECTION,4,937878
2020 NOVEMBER 3RD GENERAL ELECTION,5,917536
2020 NOVEMBER 3RD GENERAL ELECTION,6,893148
2020 NOVEMBER 3RD GENERAL ELECTION,7,869001
2020 NOVEMBER 3RD GENERAL ELECTION,8,854534
2020 NOVEMBER 3RD GENERAL ELECTION,9,819441
2020 NOVEMBER 3RD GENERAL ELECTION,10,814970
2020 NOVEMBER 3RD GENERAL ELECTION,11,795210
2020 NOVEMBER 3RD GENERAL ELECTION,12,766813
2020 NOVEMBER 3RD GENERAL ELECTION,13,720396
2020 NOVEMBER 3RD GENERAL ELECTION,14,679445
2020 NOVEMBER 3RD GENERAL ELECTION,15,637296
2020 NOVEMBER 3RD GENERAL ELECTION,16,571365
2020 NOVEMBER 3RD GENERAL ELECTION,17,555539
2020 NOVEMBER 3RD GENERAL ELECTION,18,528738
2020 NOVEMBER 3RD GENERAL ELECTION,19,473360
2020 NOVEMBER 3RD GENERAL ELECTION,20,417159
2020 NOVEMBER 3RD GENERAL ELECTION,21,370678
2020 NOVEMBER 3RD GENERAL ELECTION,22,307231
2020 NOVEMBER 3RD GENERAL ELECTION,23,289325
2020 NOVEMBER 3RD GENERAL ELECTION,24,278803
2020 NOVEMBER 3RD GENERAL ELECTION,25,259237
2020 NOVEMBER 3RD GENERAL ELECTION,26,219808
2020 NOVEMBER 3RD GENERAL ELECTION,27,179278
2020 NOVEMBER 3RD GENERAL ELECTION,28,136546
2020 NOVEMBER 3RD GENERAL ELECTION,29,101840
2020 NOVEMBER 3RD GENERAL ELECTION,30,76505
