"date","type","apps","sent","returned","date_for_graphing"
2020-09-16,2,1040008,NA,NA,2024-09-16
2020-09-17,2,1049731,893627,132,2024-09-17
2020-09-18,2,1061201,956147,582,2024-09-18
2020-09-19,2,1071960,1001084,2743,2024-09-19
2020-09-21,2,1080071,1005821,3397,2024-09-21
2020-09-22,2,1099434,1048887,38044,2024-09-22
2020-09-23,2,1117028,1073648,71674,2024-09-23
2020-09-24,2,1133600,1098155,122756,2024-09-24
2020-09-25,2,1147928,1118395,169742,2024-09-25
2020-09-26,2,1158919,1133533,213061,2024-09-26
2020-09-27,2,1161957,1136077,220823,2024-09-27
2020-09-28,2,1166407,1139044,238356,2024-09-28
2020-09-29,2,1184636,1162021,308555,2024-09-29
2020-09-30,2,1201816,1179685,350020,2024-09-30
2020-10-01,2,1217101,1197831,395082,2024-10-01
2020-10-02,2,1230911,1212358,437535,2024-10-02
2020-10-03,2,1243033,1224659,472589,2024-10-03
2020-10-04,2,1246309,1225699,476991,2024-10-04
2020-10-05,2,1251096,1231754,487251,2024-10-05
2020-10-06,2,1271528,1252602,545349,2024-10-06
2020-10-07,2,1286494,1270038,576650,2024-10-07
2020-10-08,2,1301402,1285542,614243,2024-10-08
2020-10-09,2,1315431,1300866,646987,2024-10-09
2024-09-16,0,373628,212126,45,2024-09-16
2024-09-17,0,376766,229709,50,2024-09-17
2024-09-18,0,384816,295104,119,2024-09-18
2024-09-19,0,391194,343742,239,2024-09-19
2024-09-20,0,398586,373603,469,2024-09-20
2024-09-21,0,405060,383773,824,2024-09-21
2024-09-22,0,407321,384115,842,2024-09-22
2024-09-23,0,410419,384770,881,2024-09-23
2024-09-24,0,422012,402007,7420,2024-09-24
2024-09-25,0,429697,410716,12831,2024-09-25
2024-09-26,0,436632,418786,27907,2024-09-26
2024-09-27,0,442853,425554,42767,2024-09-27
2024-09-28,0,447988,431210,55811,2024-09-28
2024-09-29,0,449969,431582,56611,2024-09-29
2024-09-30,0,452462,432141,57266,2024-09-30
2024-10-01,0,461704,444471,87086,2024-10-01
2024-10-02,0,468495,451605,99283,2024-10-02
2024-10-03,0,475935,459048,116452,2024-10-03
2024-10-04,0,483038,467047,130636,2024-10-04
2024-10-05,0,489319,473458,141886,2024-10-05
2024-10-06,0,491843,473908,142464,2024-10-06
2024-10-07,0,495302,474636,143115,2024-10-07
2024-10-08,0,508854,491226,168463,2024-10-08
2024-10-09,0,520244,502112,180465,2024-10-09
