
County Name,Absentee Applications
ADAMS COUNTY,2300
ASHLAND COUNTY,2443
BARRON COUNTY,5449
BAYFIELD COUNTY,3197
BROWN COUNTY,50536
BUFFALO COUNTY,709
BURNETT COUNTY,2092
CALUMET COUNTY,8710
CHIPPEWA COUNTY,8761
CLARK COUNTY,1368
COLUMBIA COUNTY,8450
CRAWFORD COUNTY,1345
DANE COUNTY,155973
DODGE COUNTY,9972
DOOR COUNTY,6335
DOUGLAS COUNTY,7241
DUNN COUNTY,5152
EAU CLAIRE COUNTY,15524
FLORENCE COUNTY,823
FOND DU LAC COUNTY,12293
FOREST COUNTY,1125
GRANT COUNTY,4598
GREEN COUNTY,5234
GREEN LAKE COUNTY,2188
IOWA COUNTY,3869
IRON COUNTY,921
JACKSON COUNTY,1612
JEFFERSON COUNTY,12737
JUNEAU COUNTY,1858
KENOSHA COUNTY,26007
KEWAUNEE COUNTY,2520
LA CROSSE COUNTY,21375
LAFAYETTE COUNTY,1708
LANGLADE COUNTY,1358
LINCOLN COUNTY,3959
MANITOWOC COUNTY,10601
MARATHON COUNTY,21835
MARINETTE COUNTY,5407
MARQUETTE COUNTY,1807
MENOMINEE COUNTY,337
MILWAUKEE COUNTY,181996
MONROE COUNTY,4536
OCONTO COUNTY,5372
ONEIDA COUNTY,6488
OUTAGAMIE COUNTY,33846
OZAUKEE COUNTY,19871
PEPIN COUNTY,785
PIERCE COUNTY,5608
POLK COUNTY,4566
PORTAGE COUNTY,11956
PRICE COUNTY,1848
RACINE COUNTY,30783
RICHLAND COUNTY,2086
ROCK COUNTY,25226
RUSK COUNTY,1464
ST. CROIX COUNTY,15174
SAUK COUNTY,10384
SAWYER COUNTY,2765
SHAWANO COUNTY,4537
SHEBOYGAN COUNTY,16995
TAYLOR COUNTY,1879
TREMPEALEAU COUNTY,2108
VERNON COUNTY,3268
VILAS COUNTY,4716
WALWORTH COUNTY,14584
WASHBURN COUNTY,2275
WASHINGTON COUNTY,23591
WAUKESHA COUNTY,85753
WAUPACA COUNTY,6504
WAUSHARA COUNTY,2878
WINNEBAGO COUNTY,29464
WOOD COUNTY,10423
TOTAL,1013458
