
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3537,3402,1939
ASHLAND COUNTY,3220,3193,2109
BARRON COUNTY,7737,7644,4595
BAYFIELD COUNTY,4389,4288,2932
BROWN COUNTY,71507,71070,44375
BUFFALO COUNTY,1835,1791,960
BURNETT COUNTY,3020,2959,1679
CALUMET COUNTY,12878,12800,7505
CHIPPEWA COUNTY,12031,11890,7301
CLARK COUNTY,3462,3349,1809
COLUMBIA COUNTY,12276,12189,7850
CRAWFORD COUNTY,2752,2681,1557
DANE COUNTY,205302,204449,139520
DODGE COUNTY,14288,14217,8551
DOOR COUNTY,8714,8623,5843
DOUGLAS COUNTY,9394,9324,6249
DUNN COUNTY,7335,7267,4321
EAU CLAIRE COUNTY,21883,21710,13596
FLORENCE COUNTY,1020,970,622
FOND DU LAC COUNTY,20131,19789,12017
FOREST COUNTY,1594,1561,885
GRANT COUNTY,8507,8403,5126
GREEN COUNTY,7383,7346,4795
GREEN LAKE COUNTY,3018,2944,1815
IOWA COUNTY,5469,5444,3520
IRON COUNTY,1693,1675,1028
JACKSON COUNTY,2370,2364,1353
JEFFERSON COUNTY,17225,17031,9968
JUNEAU COUNTY,3615,3491,1894
KENOSHA COUNTY,36117,35978,21233
KEWAUNEE COUNTY,3901,3877,2358
LA CROSSE COUNTY,29538,29432,18987
LAFAYETTE COUNTY,2435,2365,1368
LANGLADE COUNTY,3174,3113,1835
LINCOLN COUNTY,5333,5284,3169
MANITOWOC COUNTY,15207,15166,9871
MARATHON COUNTY,28617,28447,17847
MARINETTE COUNTY,7571,7522,4670
MARQUETTE COUNTY,2652,2540,1638
MENOMINEE COUNTY,452,432,280
MILWAUKEE COUNTY,241329,239675,139868
MONROE COUNTY,6238,6175,3551
OCONTO COUNTY,7744,7599,4572
ONEIDA COUNTY,10219,10103,6455
OUTAGAMIE COUNTY,48089,47942,28719
OZAUKEE COUNTY,26868,26783,16757
PEPIN COUNTY,1203,1141,548
PIERCE COUNTY,7890,7828,4587
POLK COUNTY,7566,7451,4217
PORTAGE COUNTY,16257,16182,10576
PRICE COUNTY,2655,2507,1498
RACINE COUNTY,42423,42253,23445
RICHLAND COUNTY,2981,2729,1570
ROCK COUNTY,35865,35689,22631
RUSK COUNTY,2012,1960,1112
ST. CROIX COUNTY,21815,21729,12924
SAUK COUNTY,14390,14165,8930
SAWYER COUNTY,3850,3745,2387
SHAWANO COUNTY,6522,6479,4112
SHEBOYGAN COUNTY,23766,23632,14733
TAYLOR COUNTY,2746,2628,1572
TREMPEALEAU COUNTY,3732,3520,2121
VERNON COUNTY,5088,4821,2422
VILAS COUNTY,6209,6083,3992
WALWORTH COUNTY,20558,20452,12056
WASHBURN COUNTY,3297,3185,1910
WASHINGTON COUNTY,32527,32203,19011
WAUKESHA COUNTY,119146,118472,70608
WAUPACA COUNTY,8964,8933,5448
WAUSHARA COUNTY,3959,3928,2351
WINNEBAGO COUNTY,41670,41454,25892
WOOD COUNTY,13995,13883,9078
TOTAL,1404155,1393349,858623
