
Jurisdiction,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned,In-Person Absentee Ballots
ADAMS COUNTY,3969,3878,2712,356
ASHLAND COUNTY,3377,3355,2524,103
BARRON COUNTY,8712,8625,6131,874
BAYFIELD COUNTY,4670,4583,3476,231
BROWN COUNTY,79717,79345,58216,6973
BUFFALO COUNTY,1931,1894,1152,55
BURNETT COUNTY,3168,3110,2051,106
CALUMET COUNTY,14172,14080,9733,1019
CHIPPEWA COUNTY,13387,13272,9565,1216
CLARK COUNTY,3672,3570,2256,103
COLUMBIA COUNTY,13928,13849,10392,1475
CRAWFORD COUNTY,2931,2876,1897,121
DANE COUNTY,220635,220198,168885,13932
DODGE COUNTY,16488,16439,11728,2002
DOOR COUNTY,9320,9233,7059,512
DOUGLAS COUNTY,10008,9966,7558,495
DUNN COUNTY,7983,7934,5394,449
EAU CLAIRE COUNTY,25335,25199,18785,3207
FLORENCE COUNTY,1072,1019,746,43
FOND DU LAC COUNTY,22395,22075,15761,1839
FOREST COUNTY,1686,1669,1065,54
GRANT COUNTY,9269,9163,6420,574
GREEN COUNTY,8396,8361,6310,914
GREEN LAKE COUNTY,3503,3431,2525,416
IOWA COUNTY,6018,5992,4408,492
IRON COUNTY,1794,1778,1262,73
JACKSON COUNTY,2648,2645,1783,225
JEFFERSON COUNTY,19760,19628,13807,2378
JUNEAU COUNTY,3889,3764,2307,170
KENOSHA COUNTY,41962,41851,29918,5381
KEWAUNEE COUNTY,4141,4117,2872,0
LA CROSSE COUNTY,33818,33744,25636,3942
LAFAYETTE COUNTY,2609,2547,1758,132
LANGLADE COUNTY,3534,3485,2386,253
LINCOLN COUNTY,5860,5812,4131,456
MANITOWOC COUNTY,17985,17953,13759,2517
MARATHON COUNTY,31614,31471,22878,2724
MARINETTE COUNTY,8707,8657,6409,1058
MARQUETTE COUNTY,2787,2685,1969,85
MENOMINEE COUNTY,503,485,359,42
MILWAUKEE COUNTY,263502,262486,179833,20320
MONROE COUNTY,7063,6998,4876,704
OCONTO COUNTY,8447,8310,5855,520
ONEIDA COUNTY,10780,10673,7745,441
OUTAGAMIE COUNTY,54290,54031,38955,5529
OZAUKEE COUNTY,32088,32042,24295,5081
PEPIN COUNTY,1261,1208,707,31
PIERCE COUNTY,8560,8522,5914,515
POLK COUNTY,8284,8179,5473,485
PORTAGE COUNTY,18522,18474,13997,2120
PRICE COUNTY,2793,2635,1794,77
RACINE COUNTY,50339,50195,34745,7579
RICHLAND COUNTY,3229,2996,1958,141
ROCK COUNTY,39981,39864,29384,3579
RUSK COUNTY,2081,2044,1345,33
ST. CROIX COUNTY,24073,24007,17084,1874
SAUK COUNTY,16080,15889,11760,1465
SAWYER COUNTY,4271,4180,3127,356
SHAWANO COUNTY,7359,7321,5398,705
SHEBOYGAN COUNTY,28482,28374,21292,4391
TAYLOR COUNTY,2949,2841,1925,149
TREMPEALEAU COUNTY,4019,3877,2581,149
VERNON COUNTY,5354,4991,2919,95
VILAS COUNTY,6822,6713,5080,529
WALWORTH COUNTY,24750,24673,17918,3861
WASHBURN COUNTY,3496,3396,2380,134
WASHINGTON COUNTY,39626,39477,28951,6780
WAUKESHA COUNTY,139251,138690,100637,18782
WAUPACA COUNTY,9861,9831,6946,715
WAUSHARA COUNTY,4127,4091,2759,135
WINNEBAGO COUNTY,46497,46368,33759,4233
WOOD COUNTY,15464,15364,11565,1351
TOTAL,1571055,1562478,1130940,149856
