"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","66","66","11","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","42","41","10","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","18","17","0","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","90","89","20","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","70","69","5","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","79","79","16","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","9","8","0","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","23","22","5","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","29","29","8","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","66","62","21","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","38","37","6","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","83","81","8","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","83","82","17","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","3","3","0","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","304","299","54","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","88","88","0","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","63","61","15","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","20","20","8","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","67","67","12","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","23","23","5","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","37","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","17","0","0",""
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","43","43","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","23","0","0",""
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","16","16","3","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","34","34","10","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","17","17","0","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","44","0","0",""
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","4","3","0","0"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","18","16","0","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","7","6","0","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","44","36","6","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","7","0","0",""
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","543","539","126","0"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","28","28","6","0"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","59","55","0","0"
"2024 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","25","0","0",""
"2024 General Election","03006","TOWN OF BARRON - BARRON COUNTY","19","18","0","0"
"2024 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","43","43","6","0"
"2024 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","103","103","23","0"
"2024 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","144","144","48","0"
