Election,HINDI,Jurisdiction,AbsenteeApplications,BallotsSent,BallotsReturned,InPersonAbsentee,
2024 General Election,01002,TOWN OF ADAMS - ADAMS COUNTY,100,99,58,0,18-Oct
2024 General Election,01004,TOWN OF BIG FLATS - ADAMS COUNTY,60,60,16,0,18-Oct
2024 General Election,01006,TOWN OF COLBURN - ADAMS COUNTY,23,21,7,0,18-Oct
2024 General Election,01008,TOWN OF DELL PRAIRIE - ADAMS COUNTY,125,123,64,0,18-Oct
2024 General Election,01010,TOWN OF EASTON - ADAMS COUNTY,87,86,46,0,18-Oct
2024 General Election,01012,TOWN OF JACKSON - ADAMS COUNTY,124,123,52,0,18-Oct
2024 General Election,01014,TOWN OF LEOLA - ADAMS COUNTY,21,20,8,0,18-Oct
2024 General Election,01016,TOWN OF LINCOLN - ADAMS COUNTY,29,26,14,0,18-Oct
2024 General Election,01018,TOWN OF MONROE - ADAMS COUNTY,36,36,29,0,18-Oct
2024 General Election,01020,TOWN OF NEW CHESTER - ADAMS COUNTY,82,82,52,0,18-Oct
2024 General Election,01022,TOWN OF NEW HAVEN - ADAMS COUNTY,47,47,23,0,18-Oct
2024 General Election,01024,TOWN OF PRESTON - ADAMS COUNTY,124,122,72,0,18-Oct
2024 General Election,01026,TOWN OF QUINCY - ADAMS COUNTY,115,115,56,0,18-Oct
2024 General Election,01028,TOWN OF RICHFIELD - ADAMS COUNTY,6,6,2,0,18-Oct
2024 General Election,01030,TOWN OF ROME - ADAMS COUNTY,392,390,226,0,18-Oct
2024 General Election,01032,TOWN OF SPRINGVILLE - ADAMS COUNTY,113,112,68,0,18-Oct
2024 General Election,01034,TOWN OF STRONGS PRAIRIE - ADAMS COUNTY,86,85,47,0,18-Oct
2024 General Election,01126,VILLAGE OF FRIENDSHIP - ADAMS COUNTY,49,49,33,0,18-Oct
2024 General Election,01201,CITY OF ADAMS - ADAMS COUNTY,88,88,57,0,18-Oct
2024 General Election,02002,TOWN OF AGENDA - ASHLAND COUNTY,25,25,17,0,18-Oct
2024 General Election,02004,TOWN OF ASHLAND - ASHLAND COUNTY,41,0,0,,18-Oct
2024 General Election,02006,TOWN OF CHIPPEWA - ASHLAND COUNTY,33,31,14,0,18-Oct
2024 General Election,02008,TOWN OF GINGLES - ASHLAND COUNTY,70,70,0,0,18-Oct
2024 General Election,02010,TOWN OF GORDON - ASHLAND COUNTY,35,35,15,0,18-Oct
2024 General Election,02012,TOWN OF JACOBS - ASHLAND COUNTY,27,25,10,0,18-Oct
2024 General Election,02014,TOWN OF LA POINTE - ASHLAND COUNTY,46,46,31,0,18-Oct
2024 General Election,02016,TOWN OF MARENGO - ASHLAND COUNTY,26,26,10,0,18-Oct
2024 General Election,02018,TOWN OF MORSE - ASHLAND COUNTY,51,51,26,0,18-Oct
2024 General Election,02020,TOWN OF PEEKSVILLE - ASHLAND COUNTY,6,6,3,0,18-Oct
2024 General Election,02022,TOWN OF SANBORN - ASHLAND COUNTY,26,26,9,0,18-Oct
2024 General Election,02024,TOWN OF SHANAGOLDEN - ASHLAND COUNTY,12,11,2,0,18-Oct
2024 General Election,02026,TOWN OF WHITE RIVER - ASHLAND COUNTY,59,59,21,0,18-Oct
2024 General Election,02106,VILLAGE OF BUTTERNUT - ASHLAND COUNTY,12,11,3,0,18-Oct
2024 General Election,02201,CITY OF ASHLAND - MULTIPLE COUNTIES,673,672,373,0,18-Oct
2024 General Election,02251,CITY OF MELLEN - ASHLAND COUNTY,36,36,22,0,18-Oct
2024 General Election,03002,TOWN OF ALMENA - BARRON COUNTY,79,76,27,0,18-Oct
2024 General Election,03004,TOWN OF ARLAND - BARRON COUNTY,35,33,20,0,18-Oct
2024 General Election,03006,TOWN OF BARRON - BARRON COUNTY,33,30,11,0,18-Oct
2024 General Election,03008,TOWN OF BEAR LAKE - BARRON COUNTY,62,62,23,0,18-Oct
2024 General Election,03010,TOWN OF CEDAR LAKE - BARRON COUNTY,159,159,91,0,18-Oct
2024 General Election,03012,TOWN OF CHETEK - BARRON COUNTY,203,203,135,0,18-Oct
2024 General Election,03014,TOWN OF CLINTON - BARRON COUNTY,46,45,15,0,18-Oct
2024 General Election,03016,TOWN OF CRYSTAL LAKE - BARRON COUNTY,42,42,12,0,18-Oct
2024 General Election,03018,TOWN OF CUMBERLAND - BARRON COUNTY,38,38,21,0,18-Oct
2024 General Election,03020,TOWN OF DALLAS - BARRON COUNTY,28,24,9,0,18-Oct
2024 General Election,03022,TOWN OF DOVRE - BARRON COUNTY,49,49,12,0,18-Oct
2024 General Election,03024,TOWN OF DOYLE - BARRON COUNTY,34,34,13,0,18-Oct
2024 General Election,03026,TOWN OF LAKELAND - BARRON COUNTY,77,77,36,0,18-Oct
2024 General Election,03028,TOWN OF MAPLE GROVE - BARRON COUNTY,55,55,26,0,18-Oct
2024 General Election,03030,TOWN OF MAPLE PLAIN - BARRON COUNTY,79,79,37,0,18-Oct
2024 General Election,03032,TOWN OF OAK GROVE - BARRON COUNTY,54,54,29,0,18-Oct
2024 General Election,03034,TOWN OF PRAIRIE FARM - BARRON COUNTY,17,17,5,0,18-Oct
2024 General Election,03036,TOWN OF PRAIRIE LAKE - BARRON COUNTY,155,154,74,0,18-Oct
2024 General Election,03038,TOWN OF RICE LAKE - BARRON COUNTY,223,222,125,0,18-Oct
2024 General Election,03040,TOWN OF SIOUX CREEK - BARRON COUNTY,34,34,17,0,18-Oct
2024 General Election,03042,TOWN OF STANFOLD - BARRON COUNTY,30,30,10,0,18-Oct
2024 General Election,03044,TOWN OF STANLEY - BARRON COUNTY,221,220,117,0,18-Oct
2024 General Election,03046,TOWN OF SUMNER - BARRON COUNTY,29,29,9,0,18-Oct
2024 General Election,03048,TOWN OF TURTLE LAKE - BARRON COUNTY,26,26,13,0,18-Oct
2024 General Election,03050,TOWN OF VANCE CREEK - BARRON COUNTY,8,8,0,0,18-Oct
