County,Registered Voters
County,
Aitkin,"11,522"
Anoka,"231,278"
Becker,"21,679"
Beltrami,"28,152"
Benton,"24,776"
Big Stone,"3,065"
Blue Earth,"38,002"
Brown,"16,151"
Carlton,"22,434"
Carver,"74,147"
Cass,"21,558"
Chippewa,"7,019"
Chisago,"38,127"
Clay,"35,705"
Clearwater,"5,189"
Cook,"3,934"
Cottonwood,"6,451"
Crow Wing,"45,876"
Dakota,"281,075"
Dodge,"13,394"
Douglas,"27,216"
Faribault,"8,392"
Fillmore,"13,447"
Freeborn,"18,383"
Goodhue,"31,150"
Grant,"3,835"
Hennepin,"789,286"
Houston,"12,469"
Hubbard,"14,839"
Isanti,"27,308"
Itasca,"29,668"
Jackson,"6,135"
Kanabec,"10,436"
Kandiyohi,"25,733"
Kittson,"2,677"
Koochiching,"7,311"
Lac Qui Pare,"4,329"
Lake,"7,438"
Lake Of The Woods,"2,737"
Le Sueur,"18,702"
Lincoln,"3,420"
Lyon,"14,521"
McLeod,"23,351"
Mahnomen,"2,678"
Marshall,"5,422"
Martin,"11,791"
Meeker,"14,831"
Mille Lacs,"16,506"
Morrison,"21,850"
Mower,"21,792"
Murray,"5,168"
Nicollet,"20,817"
Nobles,"9,428"
Norman,"3,720"
Olmsted,"100,991"
Otter Tail,"39,353"
Pennington,"7,902"
Pine,"17,926"
Pipestone,"5,127"
Polk,"16,753"
Pope,"7,567"
Ramsey,"311,256"
Red Lake,"2,340"
Redwood,"8,996"
Renville,"8,794"
Rice,"39,053"
Rock,"5,619"
Roseau,"8,980"
St. Louis,"129,364"
Scott,"97,469"
Sherburne,"63,176"
Sibley,"9,468"
Stearns,"94,516"
Steele,"22,330"
Stevens,"5,230"
Swift,"5,382"
Todd,"14,548"
Traverse,"2,005"
Wabasha,"14,405"
Wadena,"8,432"
Waseca,"11,057"
Washington,"183,850"
Watonwan,"5,463"
Wilkin,"3,634"
Winona,"28,794"
Wright,"96,827"
Yellow Medicine,"5,765"
TOTAL,"3,548,692"
