County,December,March,April,May,June,July,August,September
Aitkin,11647,11474,11546,11522,11576,11617,11638,11737
Anoka,233703,230610,231426,231278,231734,232552,234045,236380
Becker,21919,21618,21672,21679,21679,21810,21998,22185
Beltrami,28468,28168,28172,28152,28103,28266,28520,28719
Benton,25085,24675,24815,24776,24879,25010,25231,25550
Big Stone,3107,3072,3077,3065,3078,3083,3102,3116
Blue Earth,38694,38043,38098,38002,38003,38174,38497,38944
Brown,16409,16183,16190,16151,16153,16223,16313,16424
Carlton,22709,22377,22471,22434,22485,22598,22759,22970
Carver,74710,73965,74288,74147,74317,74655,75172,76112
Cass,21859,21532,21567,21558,21640,21665,21766,22015
Chippewa,7158,7029,7024,7019,7013,7028,7079,7133
Chisago,38430,38016,38175,38127,38183,38368,38624,39050
Clay,36498,35650,35761,35705,35697,36014,36445,36956
Clearwater,5179,5170,5191,5189,5193,5229,5268,5307
Cook,4053,3920,3940,3934,3933,3950,3976,4012
Cottonwood,6511,6467,6467,6451,6441,6491,6542,6662
Crow Wing,46459,45864,45998,45876,45986,46135,46346,46790
Dakota,283377,280218,281083,281075,281593,282849,285818,288678
Dodge,13442,13318,13352,13394,13448,13497,13510,13530
Douglas,27638,27211,27291,27216,27224,27327,27438,27721
Faribault,8456,8402,8397,8392,8377,8443,8529,8613
Fillmore,13430,13394,13469,13447,13462,13431,13580,13735
Freeborn,18629,18373,18386,18383,18416,18459,18586,18757
Goodhue,31484,31077,31148,31150,31150,31311,31504,31763
Grant,3879,3829,3842,3835,3837,3857,3870,3901
Hennepin,796460,788296,791415,789286,788915,792059,797743,806394
Houston,12630,12459,12505,12469,12452,12521,12588,12674
Hubbard,15068,14819,14849,14839,14836,14895,15006,15165
Isanti,27549,27189,27350,27308,27449,27565,27786,27904
Itasca,30105,29672,29713,29668,29756,29840,30007,30302
Jackson,6154,6112,6141,6135,6158,6185,6240,6287
Kanabec,10592,10419,10441,10436,10424,10442,10529,10620
Kandiyohi,26076,25703,25786,25733,25782,25851,26025,26248
Kittson,2686,2670,2673,2677,2673,2677,2708,2732
Koochiching,7393,7298,7323,7311,7306,7360,7416,7487
Lac Qui Parle,4383,4326,4336,4329,4325,4348,4351,4384
Lake,7495,7394,7441,7438,7469,7486,7543,7597
Lake Of The Woods,2785,2727,2728,2737,2738,2749,2762,2779
Le Sueur,18871,18670,18718,18702,18739,18840,18943,19112
Lincoln,3464,3379,3402,3420,3408,3438,3466,3497
Lyon,14733,14535,14555,14521,14517,14553,14751,14848
McLeod,23617,23278,23346,23351,23358,23375,23644,23801
Mahnomen,2700,2668,2672,2678,2674,2700,2730,2776
Marshall,5507,5430,5435,5422,5428,5460,5494,5570
Martin,11990,11800,11810,11791,11857,11900,12001,12134
Meeker,15041,14809,14867,14831,14819,14915,15020,15158
Mille Lacs,16548,16457,16540,16506,16516,16542,16693,16891
Morrison,21955,21797,21771,21850,21852,21977,22104,22275
Mower,22079,21776,21812,21792,21731,21854,22157,22383
Murray,5236,5162,5176,5168,5164,5174,5226,5251
Nicollet,21009,20754,20846,20817,20772,20918,21052,21187
Nobles,9681,9412,9428,9428,9418,9565,9689,9842
Norman,3722,3688,3702,3720,3737,3743,3780,3824
Olmsted,102308,100828,101176,100991,101161,101560,102629,103842
Otter Tail,39734,39265,39408,39353,39527,39677,39944,40349
Pennington,7920,7890,7890,7902,7879,7937,8050,8152
Pine,18018,17845,17978,17926,18079,18152,18249,18542
Pipestone,5221,5092,5113,5127,5136,5168,5232,5295
Polk,16972,16713,16777,16753,16844,16953,17174,17410
Pope,7620,7544,7571,7567,7601,7652,7696,7784
Ramsey,315578,311009,311442,311256,310200,312534,315246,318242
Red Lake,2399,2352,2351,2340,2349,2356,2360,2369
Redwood,9074,8977,8999,8996,9020,9079,9148,9232
Renville,8915,8805,8792,8794,8765,8846,8914,8959
Rice,39177,38665,39209,39053,39125,39217,39492,39846
Rock,5651,5609,5621,5619,5629,5642,5710,5804
Roseau,9061,8960,8994,8980,8986,9001,9179,9281
St. Louis,131497,129645,129609,129364,129414,129658,130461,131563
Scott,98000,97304,96800,97469,97364,98256,99094,99892
Sherburne,63969,63001,63293,63176,63336,63518,63992,64612
Sibley,9609,9473,9475,9468,9449,9506,9525,9608
Stearns,95789,94525,94673,94516,94766,95096,95787,96990
Steele,22745,22267,22339,22330,22383,22479,22707,22972
Stevens,5247,5201,5233,5230,5213,5266,5325,5410
Swift,5458,5382,5383,5382,5348,5410,5463,5530
Todd,14614,14488,14523,14548,14451,14647,14786,14823
Traverse,2027,2005,2010,2005,1998,2001,2016,2039
Wabasha,14539,14391,14416,14405,14426,14502,14621,14692
Wadena,8197,8450,8474,8432,8457,8511,8591,8685
Waseca,11159,11075,11076,11057,11076,11145,11204,11272
Washington,185634,183275,184192,183850,184547,184945,186393,188587
Watonwan,5524,5459,5467,5463,5423,5473,5555,5643
Wilkin,3701,3620,3632,3634,3638,3674,3703,3746
Winona,29266,28871,28862,28794,28731,28858,29092,29493
Wright,97129,96446,96199,96827,97004,97490,98165,99120
Yellow Medicine,5816,5772,5777,5765,5765,5769,5827,5886
TOTAL,3586030,3542558,3552381,3548692,3550963,3566952,3594940,3631552
