	Voter Status			
	Status			Status
County	Active	Inactive	Provisional	Total
Beaverhead	5635	1514	10	7159
Big Horn	4946	2380	43	7369
Blaine	2962	1024	45	4031
Broadwater	4872	997	19	5888
Carbon	7542	1247	5	8794
Carter	875	96		971
Cascade	40514	9812	69	50395
Chouteau	3091	529	4	3624
Custer	6035	1195	2	7232
Daniels	970	152		1122
Dawson	4686	852	2	5540
Deer Lodge	5077	835	3	5915
Fallon	1595	106		1701
Fergus	6689	973		7662
Flathead	64737	17039	51	81827
Gallatin	72007	22685	110	94802
Garfield	815	80		895
Glacier	5363	2577	34	7974
Golden Valley	522	38		560
Granite	2225	412		2637
Hill	6908	1944	10	8862
Jefferson	8445	1380	1	9826
Judith Basin	1393	127		1520
Lake	17366	4420	31	21817
Lewis & Clark	44100	8315	70	52485
Liberty	1074	112		1186
Lincoln	12477	424	4	12905
Madison	6784	892		7676
McCone	1180	47		1227
Meagher	1188	205		1393
Mineral	3049	1008	1	4058
Missoula	77556	13946	171	91673
Musselshell	3077	609		3686
Park	11903	2599		14502
Petroleum	331	22	1	354
Phillips	2241	463	1	2705
Pondera	3036	663		3699
Powder River	1127	63	5	1195
Powell	3300	785		4085
Prairie	716	102		818
Ravalli	29903	5984	8	35895
Richland	5339	2093		7432
Roosevelt	4293	1458	51	5802
Rosebud	3692	1117	10	4819
Sanders	8771	1827	3	10601
Sheridan	1990	432		2422
Silver Bow	18685	4790	19	23494
Stillwater	5909	1175	1	7085
Sweet Grass	2386	472		2858
Teton	3717	582		4299
Toole	2138	438		2576
Treasure	463	42		505
Valley	4259	749		5008
Wheatland	1252	152		1404
Wibaux	578	107		685
Yellowstone	86409	20606	280	107295
Grand Total	628193	144693	1064	773950

